Wall time,Step,Value
1672565300.2028139,0,1642.10595703125
1672565305.0271735,1,4535.98388671875
1672565309.6578352,2,4607.4462890625
1672565314.4306662,3,4430.53662109375
1672565320.482156,4,4690.3505859375
1672565326.1176155,5,3746.772216796875
1672565331.3761146,6,4661.59375
1672565337.992814,7,4687.86767578125
1672565342.7595084,8,4948.572265625
1672565347.556582,9,4753.52099609375
