Wall time,Step,Value
1672565300.2038205,0,0.0
1672565305.0273008,1,0.0
1672565309.6579618,2,0.0
1672565314.430804,3,0.0
1672565320.4822946,4,0.0
1672565326.1177535,5,1073.614501953125
1672565331.3762546,6,0.0
1672565337.9930077,7,0.0
1672565342.7596548,8,0.0
1672565347.5567744,9,0.0
